Orthogroup,ESL0353,ESL0351,ESL0350,ESL0354,ESL0186,ESL0185,ESL0184,ESL0183,ESL0263,ESL0260,ESL0261,wkb8
OG0001525,2632702700,2637898846,,,2686074141,2686075850,,,2760262487,,2760268097,
OG0001526,2632703008,2637899282,,,2686074556,2686076164,,,2760262855,,2760268569,
OG0001527,2632703011,2637899286,,,2686074560,2686076167,,,2760262858,,2760268573,
OG0001528,2632703012,2637899287,,,2686074561,2686076168,,,2760262859,,2760268574,
OG0001529,2632703032,,2641559656,,,2686076189,2686078189,,2760262883,2760266524,,
OG0001530,,"2637897401, 2637898156",2641558889,,,,2686077078,2686079472,,,2760267406,
OG0001531,,2637897426,2641557865,,,2686074687,2686076294,,,2760264780,2760266656,
OG0001532,,2637897430,2641557869,,,2686074691,2686076298,,,2760264784,2760266660,
OG0001533,,2637897473,2641557908,,2686072821,,2686076340,,,2760264818,2760266695,
OG0001534,,2637897490,2641558938,2646683607,,,,2686078366,2760262218,,,LACWKB8_0110
OG0001535,,2637897587,2641558021,,,,2686076469,,,"2760264896, 2760264938",2760266804,
OG0001536,,2637897620,2641558062,,2686072975,,2686076509,,,2760264976,2760266834,
OG0001537,,2637897678,2641558115,,,,2686076560,,2760261418,2760265038,2760266914,
OG0001538,,2637897688,2641558246,,2686073031,,2686076565,,,2760265164,2760266923,
OG0001539,,2637897705,2641558143,2646683820,2686073049,,,,,2760265060,2760266940,
OG0001540,,2637897775,2641558211,,2686073120,,2686076657,,,2760265133,2760267026,
OG0001541,,2637897840,,2646683908,2686073171,,,2686078686,,,2760267078,LACWKB8_0449
OG0001542,,2637897921,2641558358,,2686073258,,2686076864,,,2760265278,2760267159,
OG0001543,,2637897978,,2646684029,,2686075117,,2686078811,,,2760267218,LACWKB8_0586
OG0001544,,2637898048,2641558474,,2686073390,,2686076983,,,2760265394,2760267286,
OG0001545,,2637898148,2641558901,,,,"2686077068, 2686077635",2686079480,,,2760267399,
OG0001546,,2637898154,2641558891,,,,2686077076,2686079473,2760261923,,2760267405,
OG0001547,,2637898199,2641558852,,,,"2686076819, 2686077114",,2760261960,,2760267450,
OG0001548,,2637898230,,2646683762,2686073516,,,2686078522,,2760264989,,LACWKB8_0263
OG0001549,,2637898281,,2646684259,2686073570,,,2686079028,,,2760267523,LACWKB8_0816
OG0001550,,2637898462,,2646684434,2686073756,,,2686079203,,,2760267702,LACWKB8_0995
OG0001551,,2637898540,,2646684491,2686073828,,,2686079261,,,2760267760,LACWKB8_1052
OG0001552,,2637898549,,2646684495,2686073838,,,2686079265,,,2760267783,LACWKB8_1057
OG0001553,,2637898584,2641558946,,2686073869,,2686077443,,,2760265816,2760267818,
OG0001554,,2637898728,2641559093,,2686074016,,2686077587,,,2760265961,2760267975,
OG0001555,,2637898732,2641559097,,2686074020,,2686077591,,,2760265965,2760267979,
OG0001556,,2637898827,2641559193,,2686074122,,2686077709,,,2760266064,2760268076,
OG0001557,,2637898828,2641559194,,2686074123,,2686077710,,,2760266065,2760268077,
OG0001558,,2637898829,2641559195,,2686074124,,2686077711,,,2760266066,2760268078,
OG0001559,,2637898851,2641559231,,2686074146,,2686077749,,,2760266098,2760268105,
OG0001560,,2637898896,2641559277,,2686074191,,2686077793,,,2760266142,2760268150,
OG0001561,,2637898904,,2646684871,2686073826,,,,,2760266619,2760267772,LACWKB8_1675
OG0001562,,"2637898952, 2637899002",,,,,2686077864,,2760262628,2760266216,2760268266,
OG0001563,,2637898991,,,2686074289,,,,,2760266615,"2760267775, 2760268256",LACWKB8_1483
OG0001564,,2637899026,2641559364,,2686074305,,2686077896,,,2760266239,2760268290,
OG0001565,,2637899167,2641559516,,2686074454,,2686078048,,,2760266392,2760268435,
OG0001566,,2637899170,,,,2686076040,2686078051,,2760262702,2760266394,2760268446,
OG0001567,,2637899186,,2646684604,2686074463,,,,,2760266408,"2760267766, 2760268467",
OG0001568,,2637899233,,2646685118,,,2686078107,2686079885,,,2760268522,LACWKB8_1701
OG0001569,,2637899243,2641559593,,2686074513,,2686078120,,,2760266460,2760268530,
OG0001570,,2637899244,2641559594,,2686074514,,2686078121,,,2760266461,2760268531,
OG0001571,,2637899245,2641559595,,2686074515,,2686078122,,,2760266462,2760268532,
OG0001572,,2637899246,2641559596,,2686074516,,2686078123,,,2760266463,2760268533,
OG0001573,,2637899248,2641559598,,2686074518,,2686078125,,,2760266465,2760268535,
OG0001574,,2637899249,2641559599,,2686074519,,2686078126,,,2760266466,2760268536,
OG0001575,,2637899250,2641559600,,2686074520,,2686078127,,,2760266467,2760268537,
OG0001576,,2637899251,2641559602,,2686074521,,2686078129,,,2760266469,2760268538,
OG0001577,,2637899256,2641559554,,2686074526,,2686078134,,,2760266474,2760268543,
OG0001578,,2637899262,2641559609,,2686074532,,2686078137,,2760262830,,2760268549,
OG0001579,,2637899275,2641559623,,2686074544,,2686078149,,,2760266488,2760268562,
OG0001580,,,2641557877,2646683547,,,2686076307,2686078302,,2760264793,,LACWKB8_0046
OG0001581,,,2641557878,2646683548,,,2686076308,2686078303,,2760264794,,LACWKB8_0047
OG0001582,,,2641557985,2646683890,,,2686076414,2686078668,,2760264902,,LACWKB8_0431
OG0001583,,,2641557986,2646683891,,,2686076415,2686078669,,2760264903,,LACWKB8_0432
OG0001584,,,2641558037,2646683726,,,2686076484,2686078486,,2760264951,,LACWKB8_0227
OG0001585,,,2641558038,2646683727,,,2686076485,2686078487,,2760264952,,LACWKB8_0228
OG0001586,,,2641558039,2646683728,,,2686076486,2686078488,,2760264953,,LACWKB8_0229
OG0001587,,,2641558040,2646683729,,,2686076487,2686078489,,2760264954,,LACWKB8_0230
OG0001588,,,2641558041,2646683730,,,2686076488,2686078490,,2760264955,,LACWKB8_0231
OG0001589,,,2641558042,2646683731,,,2686076489,2686078491,,2760264956,,LACWKB8_0232
OG0001590,,,2641558043,2646683732,,,2686076490,2686078492,,2760264957,,LACWKB8_0233
OG0001591,,,2641558044,2646683733,,,2686076491,2686078493,,2760264958,,LACWKB8_0234
OG0001592,,,"2641558124, 2641558237",,,,,,2760261433,"2760265041, 2760265155",2760267049,
OG0001593,,,2641558129,2646684222,2686073727,,,2686078992,,2760265046,,LACWKB8_0782
OG0001594,,,2641558204,,,,2686076650,2686078646,,2760265126,2760268166,LACWKB8_0405
OG0001595,,,2641558205,,,,2686076651,2686078647,,2760265127,2760268165,LACWKB8_0406
OG0001596,,,"2641558235, 2641558759",2646684141,,,,2686078912,,2760265153,,LACWKB8_0685
OG0001597,,,"2641558578, 2641558583",,,,"2686077140, 2686077145",,,"2760265515, 2760265520",,
OG0001598,,,2641559020,2646685146,,,2686077517,2686079913,,2760265891,,LACWKB8_1727
OG0001599,,,2641559126,,,,2686077091,,2760262559,,2760267421,"LACWKB8_1258, LACWKB8_1259"
OG0001600,,,2641559316,2646683539,,,2686077831,2686078294,,2760266182,,LACWKB8_0037
OG0001601,,,2641559374,2646684917,,,2686077898,2686079701,,2760266249,,LACWKB8_1501
OG0001602,,,"2641559737, 2641559851",,,,,,,"2760266617, 2760266618",2760267773,LACWKB8_1676
OG0001603,,,,"2646683672, 2646683810",,,,"2686078434, 2686078572",,,,"LACWKB8_0172, LACWKB8_0327"
OG0001604,,,,"2646684031, 2646684032, 2646684034, 2646684035",,,,,,,"2760267220, 2760267223",
OG0001605,,,,"2646684554, 2646684864",,,,"2686079320, 2686079655",,,,"LACWKB8_1119, LACWKB8_1439"
OG0001606,,,,2646685121,2686074502,,2686078109,2686079887,,2760266444,,LACWKB8_1703
OG0001607,,,,2646685122,2686074503,,2686078110,2686079888,,,2760268514,LACWKB8_1704
OG0001608,2632701844,,2641558263,,,2686074956,2686076695,,,2760265181,,
OG0001609,2632701846,,2641558266,,,2686074958,2686076698,,,2760265184,,
OG0001610,2632701848,,2641558268,,,2686074960,2686076700,,,2760265186,,
OG0001611,2632701849,,2641558269,,,2686074961,2686076701,,,2760265187,,
OG0001612,2632701967,2637897945,,,2686073285,2686075082,,,,,2760267183,
OG0001613,2632701968,2637897946,,,2686073286,2686075083,,,,,2760267184,
OG0001614,2632701969,2637897947,,,2686073287,2686075084,,,,,2760267185,
OG0001615,"2632702408, 2632702409",,,,,2686075551,,,2760262187,2760265490,,
OG0001616,2632702438,,,,2686074228,"2686075580, 2686075942",,,2760262216,,,
OG0001617,2632702763,,2641559278,,,2686075908,2686077794,,2760262543,,,
OG0001618,2632702780,,,,"2686073536, 2686073537",,2686077638,,,2760265526,,
OG0001619,2632702983,,,2646685154,,,,2686079921,,2760266493,,LACWKB8_1735
OG0001620,,"2637897415, 2637899279",,,2686072778,,,,,,"2760266651, 2760268566",
OG0001621,,2637897424,2641557863,2646683671,,,,2686078433,,,,LACWKB8_0171
OG0001622,,2637897439,,,2686072796,,,,,,"2760266669, 2760266841, 2760267495",
OG0001623,,"2637897448, 2637897793",2641557890,,,,,,,,"2760266678, 2760268154",
OG0001624,,2637897457,,2646683562,,,2686076322,2686078317,,,,LACWKB8_0062
OG0001625,,2637897586,2641558020,,,,2686076468,,,2760264937,2760266803,
OG0001626,,2637897674,,2646685059,,,,2686079824,,,2760266910,LACWKB8_1628
OG0001627,,2637897685,2641558136,,2686073022,,,,,2760265053,2760266920,
OG0001628,,2637897700,,2646684139,2686073043,,2686076577,,,,2760266935,
OG0001629,,2637897701,,2646684140,2686073044,,2686076578,,,,2760266936,
OG0001630,,2637897761,,,2686073113,,,,2760261497,,"2760267001, 2760267014",
OG0001631,,"2637897792, 2637898225",,,2686073511,,,,,,"2760267473, 2760268155",
OG0001632,,"2637897912, 2637898966",,2646685026,2686073249,,,,,,2760267150,
OG0001633,,2637897918,,,2686073255,,2686076861,,2760261622,,2760267156,
OG0001634,,2637897973,2641558403,,"2686073314, 2686073315",,,,,,2760267213,
OG0001635,,2637897982,,,2686073321,2686075119,2686076915,,,,,LACWKB8_0588
OG0001636,,2637897983,,,2686073322,2686075120,2686076916,,,,,LACWKB8_0589
OG0001637,,2637898151,2641558895,,,,"2686076767, 2686077073",,,,2760267402,
OG0001638,,2637898153,2641558892,,,,2686077075,2686079474,,,2760267404,
OG0001639,,2637898157,2641558887,,,,2686077079,2686079471,,,2760267407,
OG0001640,,2637898158,2641558886,,,,2686077080,2686079470,,,2760267408,
OG0001641,,2637898159,,,,,"2686076778, 2686077081",2686079469,,,2760267409,
OG0001642,,2637898160,2641558885,,,,2686077082,2686079468,,,2760267410,
OG0001643,,2637898161,2641558884,,,,2686077083,2686079467,,,2760267411,
OG0001644,,2637898162,,,,,"2686076787, 2686077085",,2760261922,,2760267414,
OG0001645,,2637898163,,,,,"2686076780, 2686077087",,2760261919,,2760267415,
OG0001646,,2637898166,2641558879,,,,2686077088,2686079463,,,2760267418,
OG0001647,,2637898797,,2646684741,2686074093,,,,,,2760268045,LACWKB8_1314
OG0001648,,2637898798,,2646684742,2686074094,,,,,,2760268046,LACWKB8_1315
OG0001649,,2637898969,,,2686074267,2686075963,,,2760262613,,2760268233,
OG0001650,,2637898971,,,2686074269,2686075965,,,2760262615,,2760268235,
OG0001651,,2637899003,,,,,2686077865,,2760262629,2760266217,2760268267,
OG0001652,,2637899008,,,,,2686077870,,2760262634,2760266222,2760268272,
OG0001653,,2637899029,,,2686074307,2686075986,,,2760262645,,2760268293,
OG0001654,,2637899031,,,2686074309,2686075988,,,2760262647,,2760268295,
OG0001655,,2637899054,,2646684940,2686074333,,,,,,"2760268318, 2760268319",
OG0001656,,2637899130,2641559475,,,,2686078004,,,,"2760267768, 2760268397",
OG0001657,,2637899197,"2641557951, 2641559790",2646685332,,,2686076382,,,,,
OG0001658,,2637899213,2641559772,2646685314,2686074483,,,,,,2760268493,
OG0001659,,"2637899229, 2637899231",,,,,,,,2760266443,"2760268517, 2760268520",
OG0001660,,2637899309,,,2686074587,,,,2760262881,,2760268594,LACWKB8_1779
OG0001661,,2637899315,2641558215,,,,"2686076658, 2686078154",,,2760265134,,
OG0001662,,2637899324,2641559666,,2686074601,2686076198,2686078199,,,,,
OG0001663,,2637899359,2641559693,,,,2686078226,,,2760266560,2760268627,
OG0001664,,,"2641557826, 2641559524",2646684073,,,2686078059,,,2760264749,,
OG0001665,,,2641557916,2646683596,,,2686076348,2686078353,,2760264826,,
OG0001666,,,2641558010,2646683687,,,,2686078449,2760262476,2760264927,,
OG0001667,,,2641558025,2646683714,,,2686076473,2686078473,,,,LACWKB8_0213
OG0001668,,,2641558027,2646683716,,,2686076475,2686078475,,,,LACWKB8_0215
OG0001669,,,2641558045,,2686072960,,2686076492,,,2760264959,2760266819,
OG0001670,,,2641558206,,,,2686076652,2686078648,,2760265128,,LACWKB8_0407
OG0001671,,,2641558207,,,,2686076653,2686078649,,2760265129,,LACWKB8_0408
OG0001672,,,2641558208,,,,2686076654,2686078650,,2760265130,,LACWKB8_0409
OG0001673,,,2641558245,2646684142,,,,2686078913,,2760265163,,LACWKB8_0686
OG0001674,,,2641558352,2646683979,,,2686076850,,,2760265272,,LACWKB8_0525
OG0001675,,,2641558356,,,,2686076854,,,2760265276,,"LACWKB8_0529, LACWKB8_0608"
OG0001676,,,2641558546,,2686073479,,,,,2760265470,2760267383,LACWKB8_0734
OG0001677,,,2641558937,,,,2686077986,,"2760261250, 2760262744",2760266339,,
OG0001678,,,2641559226,2646684786,,,2686077741,2686079579,,2760266093,,
OG0001679,,,2641559494,2646685044,,,2686078022,,,,2760268416,LACWKB8_1613
OG0001680,,,2641559545,,,,2686078076,2686079862,,"2760266352, 2760266416",,
OG0001681,,,2641559572,,2686074491,,2686078095,,,2760266436,2760268504,
OG0001682,,,2641559592,2646685145,,,,2686079912,,2760266459,,LACWKB8_1726
OG0001683,,,,2646683558,2686074261,,,2686078313,,,2760268226,LACWKB8_0058
OG0001684,,,,2646683561,,,"2686076321, 2686076860",2686078316,,,,LACWKB8_0061
OG0001685,,,,"2646683572, 2646685023",2686074553,,,2686078327,,,,LACWKB8_0072
OG0001686,,,,2646683748,,,"2686076515, 2686077885",2686078508,,,,LACWKB8_0249
OG0001687,,,,2646683894,2686074263,,,2686078672,,,2760268228,LACWKB8_0435
OG0001688,,,,2646684126,2686073115,,,"2686078903, 2686078904",,,,LACWKB8_0676
OG0001689,,,,2646684697,,2686075432,2686077637,,2760261966,,,LACWKB8_1263
OG0001690,,,,2646685135,,,,2686079902,,2760266530,,"LACWKB8_0776, LACWKB8_1716"
OG0001691,,,,,2686074416,2686076131,,,,,"2760268400, 2760268401",LACWKB8_1596
OG0001692,,,,,,,2686077984,,"2760261251, 2760262742",2760266337,2760268291,
OG0001693,2632701600,,2641558274,,,,2686076706,,,2760265192,,
OG0001694,2632701664,,,,,"2686074748, 2686074949",,,2760261524,,,
OG0001695,2632702068,,,,,2686075189,,,2760261765,,,LACWKB8_0660
OG0001696,2632702166,,,,,"2686075297, 2686076134",,,2760261876,,,
OG0001697,2632702276,,,,,2686075409,,,2760262047,,2760268172,
OG0001698,"2632702783, 2632702784",,,,,,,,2760262561,,,LACWKB8_0770
OG0001699,2632702937,,2641559558,,,,,,,,2760268495,LACWKB8_1683
OG0001700,2632702986,,,2646685157,,,,2686079924,,,,LACWKB8_1738
OG0001701,2632703007,,,,2686074576,2686076163,,,2760262854,,,
OG0001702,2632703027,2637899302,,2646685199,,,,,2760262875,,,
OG0001703,2632703097,,2641559807,2646685349,,,2686076452,,,,,
OG0001704,2632703118,,2641559831,"2646685373, 2646685374",,,,,,,,
OG0001705,2632703141,,2641559724,2646685275,,,2686076440,,,,,
OG0001706,2632703180,,2641559771,2646685313,,,,,,,2760267765,
OG0001707,"2632703185, 2632703187",,2641559811,2646685353,,,,,,,,
OG0001708,"2632703199, 2632703201, 2632703203, 2632703206",,,,,,,,,,,
OG0001709,"2632703205, 2632703207, 2632703208, 2632703209",,,,,,,,,,,
OG0001710,,2637897458,,2646684022,,,,2686078802,,,,LACWKB8_0574
OG0001711,,2637897459,,2646684020,,,,2686078800,,,,LACWKB8_0572
OG0001712,,2637897460,,2646684021,,,,2686078801,,,,LACWKB8_0573
OG0001713,,2637897462,,2646685060,,,,2686079825,,,,LACWKB8_1629
OG0001714,,"2637897463, 2637898476",,,2686073769,,2686077360,,,,,
OG0001715,,2637897485,,2646683602,,,,2686078361,,,,LACWKB8_0105
OG0001716,,2637897487,,2646683604,,,,2686078363,,,,LACWKB8_0107
OG0001717,,2637897488,,2646683605,,,,2686078364,,,,LACWKB8_0108
OG0001718,,2637897489,,2646683606,,,,2686078365,,,,LACWKB8_0109
OG0001719,,2637897503,,,2686072852,,2686076363,,,,2760266723,
OG0001720,,2637897689,,,2686073032,,2686076566,,,,2760266924,
OG0001721,,2637897692,,,2686073035,,2686076569,,,,2760266927,
OG0001722,,2637897693,,,2686073036,,2686076570,,,,2760266928,
OG0001723,,2637897694,,,2686073037,,2686076571,,,,2760266929,
OG0001724,,2637897695,,,2686073038,,2686076572,,,,2760266930,
OG0001725,,2637897696,,,2686073039,,2686076573,,,,2760266931,
OG0001726,,2637897697,,,2686073040,,2686076574,,,,2760266932,
OG0001727,,2637897698,,,2686073041,,2686076575,,,,2760266933,
OG0001728,,2637897699,,,2686073042,,2686076576,,,,2760266934,
OG0001729,,2637897704,,,2686073048,,2686076582,,,,2760266939,
OG0001730,,2637897772,,,,,,,,,"2760267010, 2760267024",LACWKB8_0417
OG0001731,,"2637897786, 2637898069",,,2686073411,,,,,,2760267307,
OG0001732,,"2637897787, 2637898070",,,2686073412,,,,,,2760267308,
OG0001733,,2637897971,,,2686073311,,2686076906,,,,2760267210,
OG0001734,,2637897980,,,2686073319,,2686076913,2686078812,,,,
OG0001735,,2637897985,,,,,,2686078815,,2760265331,2760267226,
OG0001736,,2637897988,,,2686073328,2686075126,,,2760261699,,,
OG0001737,,2637898134,,,2686073481,,,,,,2760267385,LACWKB8_0736
OG0001738,,2637898152,2641558893,,,,,2686079475,,,2760267403,
OG0001739,,2637898172,,,,,2686076794,2686079458,2760261934,,,
OG0001740,,2637898173,,,,,2686076795,,2760261935,,2760267423,
OG0001741,,2637898174,,,,,2686076796,,2760261936,,2760267424,
OG0001742,,2637898175,,,,,2686076797,,2760261937,,2760267425,
OG0001743,,2637898178,,,,,2686076799,,2760261939,,2760267429,
OG0001744,,2637898179,,,,,2686076800,,2760261940,,2760267430,
OG0001745,,2637898180,,,,,2686076801,,2760261941,,2760267431,
OG0001746,,2637898181,,,,,2686076802,,2760261942,,2760267432,
OG0001747,,2637898182,,,,,2686076803,,2760261943,,2760267433,
OG0001748,,2637898183,,,,,2686076804,,2760261944,,2760267434,
OG0001749,,2637898184,,,,,2686076805,,2760261945,,2760267435,
OG0001750,,2637898185,,,,,2686076806,,2760261946,,2760267436,
OG0001751,,2637898186,,,,,2686076807,,2760261947,,2760267437,
OG0001752,,2637898187,,,,,2686076808,,2760261948,,2760267438,
OG0001753,,2637898188,,,,,2686076809,,2760261949,,2760267439,
OG0001754,,2637898189,,,,,2686076810,,2760261950,,2760267440,
OG0001755,,2637898190,,,,,2686076811,,2760261951,,2760267441,
OG0001756,,2637898191,,,,,2686076812,,2760261952,,2760267442,
OG0001757,,2637898192,,,,,2686076813,,2760261953,,2760267443,
OG0001758,,2637898193,,,,,2686076814,,2760261954,,2760267444,
OG0001759,,2637898194,,,,,2686076815,,2760261955,,2760267445,
OG0001760,,2637898196,,,,,2686077111,,2760261957,,2760267447,
OG0001761,,2637898197,,,,,2686076817,,2760261958,,2760267448,
OG0001762,,2637898198,,,,,2686076818,,2760261959,,2760267449,
OG0001763,,2637898203,,,,2686075429,2686077118,,2760261964,,,
OG0001764,,2637898244,,,2686073531,,,,2760261871,,2760267487,
OG0001765,,2637898256,2641558596,,2686073545,,,,,,2760267497,
OG0001766,,"2637898501, 2637899297",,,2686073794,,,,,,2760267731,
OG0001767,,2637898561,2641558914,,,,,,,2760265790,2760267795,
OG0001768,,2637898706,2641559073,,2686073993,,,,,,2760267953,
OG0001769,,2637898708,2641559075,,2686073995,,,,,,2760267955,
OG0001770,,2637898943,,2646685218,,,,2686079979,,,,LACWKB8_1789
OG0001771,,2637898979,,,2686074277,,,,,,2760268244,LACWKB8_1471
OG0001772,,2637898980,,,2686074278,,,,,,2760268245,LACWKB8_1472
OG0001773,,2637898981,,,2686074279,,,,,,2760268246,LACWKB8_1473
OG0001774,,2637898982,,,2686074280,,,,,,2760268247,LACWKB8_1474
OG0001775,,2637898983,,,2686074281,,,,,,2760268248,LACWKB8_1475
OG0001776,,2637898984,,,2686074282,,,,,,2760268249,LACWKB8_1476
OG0001777,,2637898986,,,2686074284,,,,,,2760268251,LACWKB8_1478
OG0001778,,2637898988,,,2686074286,,,,,,2760268253,LACWKB8_1480
OG0001779,,2637898989,,,2686074287,,,,,,2760268254,LACWKB8_1481
OG0001780,,2637898990,,,2686074288,,,,,,2760268255,LACWKB8_1482
OG0001781,,2637899000,2641558122,,,,,,2760261431,,2760268264,
OG0001782,,2637899128,2641559473,,,,2686077998,,,,2760268395,
OG0001783,,2637899129,2641559474,,,,2686078003,,,,2760268396,
OG0001784,,2637899166,2641559515,,2686074453,,,,,2760266391,,
OG0001785,,2637899195,2641559540,,,,,2686079859,,,2760268478,
OG0001786,,2637899242,,,2686074512,,2686078118,,,,2760268529,
OG0001787,,,"2641557841, 2641559431",,,,2686077956,,,2760266309,,
OG0001788,,,"2641557918, 2641558425",,,,2686076933,,,2760265345,,
OG0001789,,,2641558106,2646684863,,,,2686079654,,,,LACWKB8_1438
OG0001790,,,2641558125,,,,,,2760261434,2760265042,2760267050,
OG0001791,,,2641558126,,,,,,2760261435,2760265043,2760267051,
OG0001792,,,2641558127,,,,,,2760261436,2760265044,2760267052,
OG0001793,,,"2641558220, 2641559335",,,,2686076663,,,2760265139,,
OG0001794,,,2641558222,,,2686074926,2686076665,,,2760265141,,
OG0001795,,,2641558402,,2686073313,,,,,2760265319,2760267212,
OG0001796,,,2641558936,2646685134,,,,2686079901,,,,LACWKB8_1715
OG0001797,,,2641559325,2646684882,,,2686077839,,,2760266198,,
OG0001798,,,2641559326,2646684883,,,2686077840,,,2760266199,,
OG0001799,,,2641559360,2646684912,,,,2686079696,,,,LACWKB8_1495
OG0001800,,,"2641559368, 2641559369",,,,,,,"2760266243, 2760266244",,
OG0001801,,,2641559397,,,,2686077921,,2760262669,2760266271,,
OG0001802,,,2641559398,,,,2686077922,,2760262670,2760266272,,
OG0001803,,,2641559399,,,,2686077923,,2760262671,2760266273,,
OG0001804,,,2641559400,,,,2686077924,,2760262672,2760266274,,
OG0001805,,,2641559401,,,,2686077925,,2760262673,2760266275,,
OG0001806,,,2641559456,,,,2686077978,,,2760266331,2760268378,
OG0001807,,,2641559520,2646685083,,,2686078055,,,,2760268456,
OG0001808,,,2641559528,2646685086,,,2686078063,,,,,LACWKB8_1655
OG0001809,,,2641559546,,,,2686078077,2686079863,,2760266417,,
OG0001810,,,2641559547,,,,2686078078,2686079864,,2760266418,,
OG0001811,,,2641559562,,,,2686078086,,,"2760266175, 2760266426",,
OG0001812,,,2641559601,,,2686076188,2686078128,,,2760266468,,
OG0001813,,,2641559628,2646685174,,,2686078157,,,2760266497,,
OG0001814,,,2641559706,,,,,,,"2760266496, 2760266535, 2760266574",,
OG0001815,,,"2641559734, 2641559776",2646685318,,,,,,,2760268459,
OG0001816,,,2641559762,2646685304,,,,,,2760266600,,LACWKB8_0301
OG0001817,,,"2641559785, 2641559786","2646685327, 2646685328",,,,,,,,
OG0001818,,,"2641559793, 2641559795","2646685335, 2646685337",,,,,,,,
OG0001819,,,2641559836,2646685379,2686074469,,2686076465,,,,,
OG0001820,,,2641559858,,,,,2686080036,,2760266602,,LACWKB8_0307
OG0001821,,,,2646683519,2686072772,,,,,,2760266645,LACWKB8_0019
OG0001822,,,,2646683531,,,,2686078286,,2760266529,,LACWKB8_0029
OG0001823,,,,2646683538,,,,2686078293,,2760266184,,LACWKB8_0036
OG0001824,,,,2646683559,,,,2686078314,,,2760266859,LACWKB8_0059
OG0001825,,,,2646683674,2686074236,,,2686078436,,,,LACWKB8_0174
OG0001826,,,,2646683701,2686073724,,,2686078461,,,,LACWKB8_0200
OG0001827,,,,2646683758,,,,2686078518,,2760264985,,LACWKB8_0259
OG0001828,,,,2646683759,,,,2686078519,,2760264986,,LACWKB8_0260
OG0001829,,,,2646683760,,,,2686078520,,2760264987,,LACWKB8_0261
OG0001830,,,,2646683761,,,,2686078521,,2760264988,,LACWKB8_0262
OG0001831,,,,2646683763,,,,2686078523,,2760264990,,LACWKB8_0264
OG0001832,,,,2646683764,,,,2686078524,,2760264991,,LACWKB8_0265
OG0001833,,,,2646683765,,,,2686078525,,2760264992,,LACWKB8_0266
OG0001834,,,,2646683766,,,,2686078526,,2760264993,,LACWKB8_0267
OG0001835,,,,2646683883,,,,2686078661,2760261510,,,LACWKB8_0424
OG0001836,,,,2646684001,,,,2686078781,,,2760267192,LACWKB8_0553
OG0001837,,,,2646684893,,,,2686079677,2760262609,,,LACWKB8_1462
OG0001838,,,,2646684948,,,,2686079729,,2760266285,,LACWKB8_1530
OG0001839,,,,2646684963,,,,2686079744,2760262692,,,LACWKB8_1544
OG0001840,,,,2646684964,,,,2686079745,2760262693,,,LACWKB8_1545
OG0001841,,,,2646684965,,,,2686079746,2760262694,,,LACWKB8_1546
OG0001842,,,,2646685048,,,,2686079814,,2760264897,,LACWKB8_1617
OG0001843,,,,2646685095,,,,"2686078644, 2686080006",,,,LACWKB8_0402
OG0001844,,,,2646685141,,,,2686079908,,2760266455,,LACWKB8_1722
OG0001845,,,,2646685142,,,,2686079909,,2760266456,,LACWKB8_1723
OG0001846,,,,2646685143,,,,2686079910,,2760266457,,LACWKB8_1724
OG0001847,,,,2646685144,,,,2686079911,,2760266458,,LACWKB8_1725
OG0001848,,,,2646685215,,,,2686079976,,,2760266855,LACWKB8_1786
OG0001849,,,,,2686073478,,,,2760262816,,2760267382,LACWKB8_0733
OG0001850,,,,,2686073827,,2686076765,,2760261907,,2760267759,
OG0001851,,,,,2686074554,,2686078243,2686078826,,2760266578,,
OG0001852,2632701608,,,,,2686074682,,,2760261215,,,
OG0001853,2632701636,,,,,2686074713,,,2760261265,,,
OG0001854,2632701648,,,,,2686074724,,,2760261276,,,
OG0001855,2632701806,,,,,2686074893,,,2760261466,,,
OG0001856,2632701807,,,,,2686074894,,,2760261467,,,
OG0001857,2632701936,,,,,2686075051,,,2760261617,,,
OG0001858,2632701954,,,,,2686075069,,,2760261650,,,
OG0001859,2632701955,,,,,2686075070,,,2760261651,,,
OG0001860,2632702002,,,,,2686075116,,,2760261689,,,
OG0001861,2632702006,,,,,2686075123,,,2760261691,,,
OG0001862,2632702014,,,,,2686075134,,,2760261707,,,
OG0001863,2632702096,,,,,2686075217,,,2760261793,,,
OG0001864,2632702130,,,,,2686075253,,,2760261828,,,
OG0001865,2632702163,,,,,2686075293,,,2760261870,,,
OG0001866,2632702275,,,,,2686075408,,,2760262046,,,
OG0001867,2632702283,,,,,2686075416,,,2760262054,,,
OG0001868,2632702344,,,,,2686075483,,,2760262114,,,
OG0001869,2632702350,,,,,2686075489,,,2760262120,,,
OG0001870,2632702440,,,,,2686075582,,,2760262226,,,
OG0001871,2632702507,,,2646684870,,,,,,2760265329,,
OG0001872,2632702581,,,,,2686075722,,,2760262366,,,
OG0001873,2632702634,,,,,2686075782,,,2760262420,,,
OG0001874,2632702687,,,,,2686075835,,,2760262474,,,
OG0001875,2632702691,,,,,2686075839,,,2760262481,,,
OG0001876,2632702707,,,,,2686075857,,,2760262494,,,
OG0001877,2632702708,,,,,2686075858,,,2760262495,,,
OG0001878,2632702716,,,,,2686075865,,,2760262499,,,
OG0001879,2632702768,,,,,2686075913,,,2760262548,,,
OG0001880,2632702769,,,,,2686075914,,,2760262549,,,
